scheduleId,trainId,trainNumber,trainName,scheduledArrivalTime,scheduledDepartureTime,stationCodes,scheduleDate,createdDate
6da5069d-8a8c-4c50-9f69-29377255381b,3952055,Andhra Pradesh Express,12723,01:43,0 days 00:05:00,"['VVH', 'DTVL', 'GNSL', 'VK', 'TNA', 'SIN', 'PNVL', 'ASO', 'WTP', 'A/AD/ADH', 'DI', 'PNVL', 'MDD', 'MSD', 'PR', 'NRL', 'LWJ', 'STC', 'SWDV', 'D/DR/DDR', 'MM', 'DLV', 'SNRD', 'GV', 'GTR', 'NEU', 'DIVA', 'KYN', 'NIIJ', 'SWDV']",2025-06-26,2025-06-26 15:02:50.730329
743e3335-9048-47f4-9cec-08b36cf4e77e,1366495,Andhra Pradesh Express,22416,12:05,0 days 00:10:00,"['DKRD', 'VDLR', 'MMCT', 'NIIJ', 'MAE', 'CTGN', 'NSP', 'JCNR', 'SVE', 'SAH', 'DIVA', 'KHAR', 'KP', 'KHAG', 'KYN', 'VK', 'BY', 'KARD', 'VK', 'BSR/BS', 'KDV', 'DIVA', 'MSD', 'VTN', 'TUH', 'CHG', 'UOI', 'PL', 'KPHN', 'BND', 'VVH', 'NHU', 'CSMT/ST', 'VGN', 'KNDS', 'KLVA', 'CHF', 'MDD', 'CSMT/ST', 'SWDV']",2025-06-26,2025-06-26 15:02:50.730329
09ab7443-5675-40de-b86d-8daabe3371fa,1158757,Andhra Pradesh Express,12724,01:31,0 days 00:10:00,"['CSMT/ST', 'DIC', 'MSD', 'RSYI', 'DRD', 'TLA', 'SVE', 'CYR', 'TNA', 'KSRA', 'PNVL', 'SHLU', 'VSD', 'KARD', 'VGN', 'CHG', 'MIRA', 'UOI', 'DI', 'TPND', 'KOPR', 'PNVL', 'VTN', 'KPHN', 'KDV', 'MLND', 'VK', 'KLMG', 'KNDS', 'CTGN', 'VR', 'MX', 'PLG', 'CHF', 'BUD', 'NRL', 'MTN', 'MANR', 'MLND', 'SNRD', 'ROHA', 'NEU', 'KLV', 'CHG', 'SNRD', 'KLVA', 'BSR/BS', 'MSD', 'DKRD', 'DRD']",2025-06-26,2025-06-26 15:02:50.730329
6bc7329e-0367-4e72-bf09-0226fa24bd36,1152508,Andhra Pradesh Sampark Kranti,12707,02:04,0 days 00:05:00,"['BEPR', 'ASO', 'MEL', 'GV', 'BUD', 'TUH', 'TKNG', 'DIVA', 'KOPR', 'MLND', 'KE', 'D/DR/DDR', 'RRD', 'ULNR', 'HPUR', 'ABY', 'BOR', 'VTN', 'KARP', 'MTN', 'SAH', 'RMAR', 'VGN', 'PR', 'JNJ', 'BMNDG', 'G', 'PLG', 'CSMT/ST', 'BEPR']",2025-06-26,2025-06-26 15:02:50.730329
c65b0fdc-5570-48b2-89fd-bf06db17ce9f,4197816,Abadh Assam Express,15909,07:16,0 days 00:05:00,"['KOPR', 'VK', 'JNJ', 'BIRD', 'KHAR', 'NGTN', 'MBQ', 'PLG', 'KOPR', 'TNA', 'SNRD', 'VGI', 'CMBR', 'MRU', 'KHBV', 'KHAG', 'SWDV', 'SIN', 'C/CH', 'DRD', 'GV', 'SAH', 'PBHD', 'KYN', 'A/AD/ADH', 'DI', 'AMNA', 'PNVL', 'ASO', 'KYN', 'ABY', 'GTR', 'NIIJ', 'BOR', 'MM', 'STC', 'BSR/BS', 'KPHN', 'PNVL', 'MSD']",2025-06-26,2025-06-26 15:02:50.730329
05a5730c-bdcf-44f4-833b-e76a1e19d15b,7667759,Abkp Durg Passenger E,18242,22:16,0 days 00:05:00,"['VGN', 'CHG', 'KE', 'SWDV', 'KARP', 'SWDV', 'NIIJ', 'ROHA', 'PNVL', 'PBHD', 'G', 'MTN', 'RMAR', 'B/BA', 'BVS', 'KPHN', 'WTP', 'D/DR/DDR', 'KLE', 'JOS', 'KHAR', 'PNVL', 'VR', 'ASO', 'MBQ', 'DIVA', 'BIRD', 'KHAG', 'GTR', 'BSR/BS', 'DTVL', 'MSD', 'TNA', 'BY', 'NIG', 'CHG', 'NIDI', 'CSMT/ST', 'NSP', 'VR']",2025-06-26,2025-06-26 15:02:50.730329
f1cd5b70-fa5b-4dae-b5e6-8e25da2c2c90,7132375,Abkp Jbp Express,11266,08:59,0 days 00:05:00,"['MSD', 'CSMT/ST', 'KASU', 'KYN', 'BVS', 'G', 'HPUR', 'KLMG', 'TUH', 'UOI', 'VDLR', 'OMB', 'GTR', 'MM', 'PBHD', 'MANR', 'DLV', 'KHAR', 'VLDI', 'ATG', 'SNRD', 'SVE', 'C/CH', 'NEU', 'NVRD', 'CTGN', 'KHBV', 'VTN', 'CCG', 'SNRD', 'SWDV', 'NIDI', 'VTN', 'KLV', 'BSR/BS', 'DTVL', 'CRD', 'TLA', 'SMNE', 'MIRA']",2025-06-26,2025-06-26 15:02:50.730329
dbe54aa3-4846-4c89-9ac3-186f4448b576,2706728,Abkp Sdl Passenger,58702,02:38,0 days 00:10:00,"['PL', 'C/CH', 'TPND', 'BY', 'SNCR', 'ASO', 'KYN', 'PR', 'CMBR', 'PEN', 'KNDS', 'BEPR', 'JNJ', 'KLVA', 'VVH', 'KOPR', 'PBHD', 'CCG', 'CRD', 'ABH', 'MSD', 'RRD', 'KHBV', 'NEU', 'NRL', 'DTVL', 'PLG', 'THK', 'PR', 'NSP', 'MBQ', 'CTGN', 'BSR/BS', 'DLV', 'HPUR', 'VDLR', 'PDI', 'OMB', 'DIC', 'KLV', 'NIDI', 'SNRD', 'TUH', 'MTN', 'BO/BVI', 'KARP', 'KHAG', 'MAE', 'MDD', 'MMCT']",2025-06-26,2025-06-26 15:02:50.730329
70e5b872-3126-4f0a-88f7-021321923aab,1512927,Abs Ju Passengr,54703,16:25,0 days 00:10:00,"['SVE', 'KNDS', 'MMCT', 'MAE', 'NEU', 'JNJ', 'KOPR', 'NIG', 'AIRL', 'KHAR', 'DI', 'PLG', 'KLVA', 'VSD', 'SAH', 'PR', 'KDV', 'SWDV', 'MBQ', 'WTP', 'MLND', 'PL', 'BOR', 'BSR/BS', 'JOS', 'NEU', 'BND', 'NVRD', 'ULNR', 'BEPR', 'VDLR', 'JTT', 'NVRD', 'MIRA', 'MDD', 'PNVL', 'PNVL', 'NGTN', 'VGN', 'BEPR']",2025-06-26,2025-06-26 15:02:50.730329
b5717ab3-762e-40c3-8f8f-47e3f4b5dce2,3987539,Adb Qln Special,7509,03:00,0 days 00:10:00,"['ULNR', 'MM', 'DIVA', 'JOS', 'TNA', 'SWDV', 'KYN', 'KNDS', 'NRL', 'KARP', 'KOPR', 'KLMG', 'KLV', 'MANR', 'BMNDG', 'KHAG', 'VGI', 'BY', 'CRD', 'ROHA', 'C/CH', 'HPUR', 'DIVA', 'C/CH', 'KPHN', 'KASU', 'G', 'OMB', 'RABE', 'THK', 'NEU', 'SNRD', 'MX', 'BSR/BS', 'VR', 'THK', 'BEPR', 'MDD', 'SWDV', 'MSD']",2025-06-26,2025-06-26 15:02:50.730329
